 
 cos(theta_lab) = 0.999999, ga_en = 7.994671 GeV, ga_mom = 7.900302 GeV, theta_lab = 0.067848 deg0.010000        1.723050e+00

 cos(theta_lab) = 0.999284, ga_en = 7.941382 GeV, ga_mom = 7.846371 GeV, theta_lab = 2.167656 deg0.110000        1.612154e+00

 cos(theta_lab) = 0.998561, ga_en = 7.888092 GeV, ga_mom = 7.792432 GeV, theta_lab = 3.074338 deg0.210000        7.589512e-01

 cos(theta_lab) = 0.997828, ga_en = 7.834803 GeV, ga_mom = 7.738484 GeV, theta_lab = 3.776794 deg0.310000        4.217623e-01

 cos(theta_lab) = 0.997087, ga_en = 7.781513 GeV, ga_mom = 7.684527 GeV, theta_lab = 4.374669 deg0.410000        2.370965e-01

 cos(theta_lab) = 0.996336, ga_en = 7.728224 GeV, ga_mom = 7.630560 GeV, theta_lab = 4.906464 deg0.510000        1.385058e-01

 cos(theta_lab) = 0.995575, ga_en = 7.674934 GeV, ga_mom = 7.576584 GeV, theta_lab = 5.391877 deg0.610000        8.446771e-02

 cos(theta_lab) = 0.994805, ga_en = 7.621645 GeV, ga_mom = 7.522597 GeV, theta_lab = 5.842585 deg0.710000        5.352822e-02

 cos(theta_lab) = 0.994026, ga_en = 7.568356 GeV, ga_mom = 7.468601 GeV, theta_lab = 6.266182 deg0.810000        3.504511e-02

 cos(theta_lab) = 0.993236, ga_en = 7.515066 GeV, ga_mom = 7.414595 GeV, theta_lab = 6.667933 deg0.910000        2.359573e-02

 cos(theta_lab) = 0.992436, ga_en = 7.461777 GeV, ga_mom = 7.360578 GeV, theta_lab = 7.051667 deg1.010000        1.627084e-02

 cos(theta_lab) = 0.991626, ga_en = 7.408487 GeV, ga_mom = 7.306551 GeV, theta_lab = 7.420271 deg1.110000        1.145822e-02

 cos(theta_lab) = 0.990805, ga_en = 7.355198 GeV, ga_mom = 7.252512 GeV, theta_lab = 7.775986 deg1.210000        8.215335e-03

 cos(theta_lab) = 0.989973, ga_en = 7.301908 GeV, ga_mom = 7.198463 GeV, theta_lab = 8.120595 deg1.310000        5.988366e-03

 cos(theta_lab) = 0.989130, ga_en = 7.248619 GeV, ga_mom = 7.144402 GeV, theta_lab = 8.455542 deg1.410000        4.427849e-03

 cos(theta_lab) = 0.988276, ga_en = 7.195330 GeV, ga_mom = 7.090329 GeV, theta_lab = 8.782020 deg1.510000        3.316352e-03

 cos(theta_lab) = 0.987411, ga_en = 7.142040 GeV, ga_mom = 7.036245 GeV, theta_lab = 9.101023 deg1.610000        2.513881e-03

 cos(theta_lab) = 0.986534, ga_en = 7.088751 GeV, ga_mom = 6.982148 GeV, theta_lab = 9.413398 deg1.710000        1.925965e-03

 cos(theta_lab) = 0.985645, ga_en = 7.035461 GeV, ga_mom = 6.928038 GeV, theta_lab = 9.719867 deg1.810000        1.489813e-03

 cos(theta_lab) = 0.984744, ga_en = 6.982172 GeV, ga_mom = 6.873916 GeV, theta_lab = 10.021055 deg1.910000       1.162963e-03

